Policy ID,Holder Name,Holder Id,Insurance Type,Holder Age,Holder Phone Number,Holder Incomes,Holder Address,Premium Amount,Start Date,End Date,commission_amount,members,carrier_name,days_of_payment_delay
d1d81c12-b65f-4681-885b-f7b1254e1f22,Robin Little,8a218c95-d1d7-4621-8ba7-cf75c4ba6e86,Vida,25,+1-833-749-5759x4693,>100.000,"5032 John Creek Suite 299
Gilesburgh, HI 75881",6772.56,2024-02-24,2025-07-19,60.13,2,Oscar,24
d183765e-cb15-484d-bf83-886844601315,Denise Contreras,4f38c0b4-8f75-4f21-b164-4b43250f6f66,Salud,43,218-724-9546,>100.000,"562 Noah Union
Herringmouth, AZ 41539",9036.17,2022-10-31,2025-06-14,57.13,1,Florida Blue,27
5193b037-5ce0-4446-bd8e-a1663d7cdcac,Lisa Parsons MD,d619d377-e418-48e0-8522-2b32c8629232,Viaje,24,397-982-3987x5148,>100.000,"29183 Jennings Isle Apt. 706
East Lori, NV 83464",6235.37,2023-03-02,2025-02-07,62.29,6,Ambetter,7
c30a48e8-098a-4809-a0b1-3373d31afacb,Alejandro Hernandez,ca0f69b7-dcad-439f-a722-e1dd32ffbe0e,Automóvil,44,+1-657-775-3406x790,>24.000,"USNV Terry
FPO AA 49273",6084.55,2022-02-10,2027-07-13,54.79,3,Florida Blue,0
f8adbbfb-387b-4928-af29-99860d39e8be,Isabel Moon,0351ce47-c76b-4b75-b55a-4837a8afeb3d,Viaje,36,+1-429-917-7714x27576,>100.000,"9088 Frank Square
South Edward, IL 42583",6343.05,2022-09-01,2028-11-04,66.94,3,Oscar,8
d3966435-6d16-40ec-b4de-91a54b0cab63,Lucas Rowe,3b16fa3b-e230-4388-af46-c2ef19f02116,Salud,56,965-759-1197x1269,>36.000,"9603 Willie Ferry
Jimenezview, VI 83563",5859.62,2023-11-03,2025-01-10,54.88,2,Ambetter,28
a3720eb8-4284-4b3f-accc-6c814929658e,Ariana Wallace,adc5fd05-9b5b-4064-a090-dd1b3f10b23b,Salud,52,+1-690-401-9521x490,>60.00,"95946 John Spring Apt. 223
Markborough, MH 53434",7278.0,2022-09-03,2027-07-12,72.47,5,Florida Blue,5
1f179963-02e4-403f-9f23-69784cb5adef,Eugene Freeman,1eb18469-5344-46b3-a6b2-2979b3373df0,Vida,43,368.727.7797,>100.000,"93903 Kayla Harbor
Jamesfurt, ID 41534",5117.44,2024-03-22,2025-06-02,67.71,2,Oscar,0
e3fed700-ac62-444f-aac3-102ca75f51cc,Jason Bernard,82463ca1-66d8-4bdd-8156-4658cff0ef8f,Hogar,46,(578)280-2204x11471,>24.000,"798 Darryl Prairie
Emilyshire, PR 51321",2394.73,2023-03-26,2026-11-13,57.42,5,Oscar,21
05eeb6f8-9d8b-44c6-bc4c-59fc772930eb,Crystal Mccall,8a76c11d-7528-4be3-a4c1-7e96749270eb,Vida,64,(330)866-1524x083,>50.000,"14234 Howard Pines
South Heatherbury, TX 16099",2651.9,2024-06-20,2027-10-09,61.05,2,Oscar,29
1a77ce50-b2e4-458d-a48b-94b213cdcd5c,Christopher Miller,850c1b5c-1a96-4b8f-925d-57b1c08349c4,Viaje,32,7935632956,>100.000,"613 Barron Land
New Amanda, WY 91519",2672.79,2023-04-16,2024-07-25,74.24,5,Ambetter,25
d35a87ce-9bb7-4141-860b-088871049ae7,David Lopez,a991ac48-fcea-446c-b339-bb1f1e6c00d9,Viaje,26,001-787-876-4274,>24.000,"308 Christina Forest Apt. 497
West Jason, GU 79093",2517.33,2024-04-08,2024-12-02,59.1,7,Oscar,27
eafc5a5e-706a-4c03-add7-aa3d8a3cde5e,Anthony Leon,654b2aff-3097-40c6-afaa-434ddc9d8dfb,Viaje,31,001-345-688-6914x89405,>500.0000,"0568 Miller Via Suite 240
Tuckermouth, MS 54826",9105.15,2024-07-21,2025-12-23,54.95,4,Ambetter,5
ad7338a4-9f5a-420e-916c-580851f4579b,Jeffrey Gamble,4cfae9cb-b93c-44e8-ba69-c7fc0b47e7c3,Hogar,42,(803)536-3968,>60.00,"771 Cordova Meadows
Danielchester, ND 63954",6625.39,2022-08-14,2023-01-13,61.11,5,Oscar,24
6b4b35f8-a8ba-4ca0-92d1-0754f00dd588,Sharon Green,7b9819d7-410b-4122-9703-9da3b4b38373,Hogar,41,001-963-927-8889x82445,>100.000,"PSC 1444, Box 6909
APO AP 68475",9546.46,2023-05-15,2024-04-11,52.94,5,Oscar,23
614991f7-fb7e-4d90-b49d-343c5c2a1be2,Phyllis Cannon,574ce47b-cadd-44ae-b86d-4258df240553,Viaje,45,001-312-386-6462x5763,>24.000,"31344 Kennedy Creek Suite 279
East Scott, SC 80153",951.54,2022-12-31,2023-04-23,68.85,6,Oscar,1
e3c692be-8f37-47f0-9034-675ebc49a4d7,Joshua Smith,dffff0b4-f15e-4e7d-8315-1b7a3c74b48a,Vida,29,313.410.6849x226,>100.000,"97287 Johnson Alley Apt. 255
Johnchester, AZ 81826",3949.67,2021-08-11,2022-10-08,59.64,3,Florida Blue,17
57621c91-9705-48d9-9a1b-62e45f0386db,William Wright,92bb02f1-d6e7-4d16-bf58-c17f8dddcb96,Salud,57,001-716-432-2949x906,>60.00,"3868 Kyle Glens Suite 621
New Stephen, VA 85987",656.96,2023-05-13,2026-09-02,64.49,5,Florida Blue,16
4a7230ea-1d9d-40d3-b5c7-a3b495ae4e2f,Miguel Wilson,f44ac5c7-1cb7-4229-89cc-7209af60b7ac,Automóvil,20,(291)595-1783,>100.000,"115 Nicholas Corners
Jamesmouth, OH 67951",4470.65,2022-09-02,2025-11-04,57.65,2,Oscar,29
a236c8c8-eb6f-4df6-8171-c567309745a0,Kayla Rogers,4966313d-1215-4ed6-a7e7-a3682b330a46,Salud,40,315.949.8444,>50.000,"104 Moore Mills Suite 046
Sandovalview, WA 28706",4871.39,2021-09-11,2021-11-01,54.94,6,Oscar,29
5ce2db80-097d-4e91-9feb-90676d106a27,Timothy Carter,dd0bfe95-009d-4b9e-8b14-4455a7bf6824,Vida,20,407.807.7756x8514,<24.000,"07352 Lauren Cliff Suite 996
Aarontown, OH 26792",9504.92,2022-04-04,2025-12-26,50.52,6,Ambetter,24
667f7224-d114-4689-bbe3-defce93fc3a2,Sierra Thompson,e5e4525d-dbc3-49ed-8c2d-c92f5753352c,Automóvil,21,663.548.0190x304,>60.00,"0877 Jeremy Gateway
Powellchester, MO 34625",5575.53,2022-08-25,2028-09-04,55.88,1,Ambetter,20
c1f67977-995a-4f24-8c95-6f2d21bad2dd,Brianna Mosley,cdce74c7-01fa-476c-81c1-d5bec127c599,Hogar,37,+1-448-400-5620x599,>50.000,"334 Corey Burg
Harrisborough, GA 06279",7997.34,2022-02-09,2024-11-06,55.75,1,Oscar,16
b1c49eb1-c0d0-4a69-ace2-f62ab7764836,Michelle Garcia,92cc7c12-f866-4059-a6ba-92fd0749bbd7,Salud,52,856-448-9804x999,>100.000,"1782 Pearson Flat Suite 712
Justinhaven, MI 29867",5384.59,2023-05-28,2026-03-27,72.26,6,Oscar,27
9e22ffdd-73ac-4088-9804-47d8a4c20261,Rebekah Schmidt,6ce86050-9739-41be-aef8-ca3dce9d910a,Vida,27,001-780-914-1356x99991,>100.000,"PSC 1854, Box 2701
APO AP 30646",3416.23,2024-03-15,2025-03-09,55.48,5,Oscar,16
6e4a02bb-738e-4ef7-afba-741700e3b7bf,Cassandra Miller,39d29759-3c15-4017-bfe9-daf4abcfdb83,Vida,58,(202)330-5625,>100.000,"1682 Alexander Port
Jenniferfurt, GU 91681",4663.99,2023-01-16,2024-08-11,67.36,2,Florida Blue,4
